Marque;Moteur centrale;Moteur;Type de carburant;Cylindré;Puissance maximale;Couple maximal;Consommation ;Note Consommation;Fiabilité/Cout réparation;Durée de la garantie;Performance
Audi;1.4 40 204;40 TFSi e;Hybride;1.4 ;204;320;1.5 ;4;1.5;2;3.5
Audi;1.4 45 245;45 TFSi e;Hybride;1.4 ;245;400;1.5 ;3.5;1.5;2;3.5
Audi;45 TFSIE 245;2.0 TFSI;Essence;2.0 ;245;370;6.4 ;3;2.5;2;4
Audi;2.0 TFSI 252;2.0 TFSI;Essence;2.0 ;252;370;6.9 ;3;2.5;2;4
Audi;2.0 50 299 ;50 TFSI e;Hybride;2.0 ;299;450;1.7 ;3.5;1.5;2;3.5
Audi;2.0 50 300;50 TFSI;Essence;2.0 ;300;380;6.9 ;2.5;3;2;4.5
Audi;2.0 TFSI 310;2.0 TFSI;Essence;2.0 ;310;380;6.9 ;2.5;3;2;4.5
Audi;2.0 TFSI 310 S3;2.0 TFSI;Essence;2.0 ;310;380;6.9 ;2.5;3;2;4.5
Audi;2.0 TFSI 367;55 TFSI e;Hybride;2.0 ;367;500;7;3;1.5;2.5;5
Audi;2.5 TFSI 400;2.5 TFSI;Essence;2.5 ;400;480;10.6 ;2.5;3.5;2;5
Audi;1.6 TDI 116;1.6 TDI;Diesel;1.6 ;116;250;3.8 ;4.5;2.5;2;3.5
Audi;2.0 TDI 150;2.0 TDI;Diesel;2.0 ;150;360;4.4 ;4.5;3;2;3.5
Audi;2.0 TDI 190;2.0 TDI;Diesel;2.0 ;190;400;4.8 ;4;3;2;3.5
Audi;3.0 45 231;3.0 TDI;Diesel;3.0 ;231;500;5.5 ;4;4;2;4
Audi;3.0 50 286;3.0 TDI;Diesel;3.0 ;286;620;5.7 ;4;4;2;4.5
Audi;2.9 V6 450;2.9 V6 450;Essence;2.9 ;450;600;8.7 ;3;3;2;5
Audi;4.0 TFSI 450;4.0 TFSI;Essence;4.0 ;450;600;9.2 ;2.5;3;2;5
Audi;4.0 TFSI 600;4.0 TFSI;Essence;4.0 ;600;800;12.3 ;2.5;3;2;5
Audi;4.0 TFSI 605 PERFORMANCE;4.0 TFSI;Essence;4.0 ;605;800;12.4 ;2.5;3;2;5
